%1. Title: Bundesliga Spielprognose
	@RELATION spiel

%Letzte drei Spiele
	@ATTRIBUTE tore NUMERIC
	@ATTRIBUTE gegentore NUMERIC
%Letzte fuenf Spiele
	@ATTRIBUTE niederlagen NUMERIC
	@ATTRIBUTE steigung NUMERIC
	@ATTRIBUTE heimvorteil {heim,gast}
	@ATTRIBUTE tag {montag,dienstag,mittwoch,donnerstag,freitag,samstag,sonntag}
	@ATTRIBUTE ausgang {sieg,niederlage,unentschieden}

	@DATA
	4,6,2,-1,heim,samstag,sieg
	6,3,4,1,heim,samstag,niederlage
	5,2,3,1,gast,samstag,sieg
	5,1,3,3,heim,samstag,niederlage
	3,6,0,1,gast,samstag,sieg
	4,7,1,-3,gast,samstag,unentschieden
	1,5,0,0,heim,samstag,unentschieden
	2,4,0,0,gast,samstag,unentschieden
	3,2,3,-3,heim,samstag,unentschieden
	5,8,1,1,heim,samstag,niederlage
	2,2,1,-1,gast,samstag,sieg
	5,2,3,2,gast,samstag,sieg
	6,4,3,-2,heim,samstag,niederlage
	7,10,2,0,gast,samstag,sieg
	3,5,2,1,heim,samstag,niederlage
	9,3,5,2,gast,samstag,unentschieden
	1,4,0,-1,heim,samstag,unentschieden
	3,5,3,-3,heim,samstag,sieg
	7,5,4,0,gast,samstag,niederlage
	6,7,1,-1,heim,samstag,sieg
	1,8,2,-1,gast,samstag,niederlage
	5,6,0,0,heim,sonntag,unentschieden
	1,3,2,-6,gast,sonntag,unentschieden
	8,4,2,-1,heim,sonntag,unentschieden
	6,2,2,2,gast,sonntag,unentschieden
	4,2,2,-2,heim,samstag,sieg
	5,1,4,-1,gast,samstag,niederlage
	4,2,4,-2,gast,freitag,unentschieden
	5,1,2,1,heim,freitag,unentschieden
	3,5,0,1,gast,freitag,niederlage
	3,2,3,0,heim,freitag,sieg
	3,4,2,0,gast,freitag,sieg
	6,6,1,2,heim,freitag,niederlage
	5,3,2,2,heim,freitag,sieg
	3,3,1,2,gast,freitag,niederlage
	3,7,3,-1,heim,montag,unentschieden
	8,5,2,1,gast,montag,unentschieden
	7,7,2,0,heim,freitag,niederlage
	1,7,0,1,gast,freitag,sieg
	5,2,2,0,gast,samstag,sieg
	6,6,1,2,heim,samstag,niederlage
	4,7,2,-1,gast,samstag,sieg
	3,3,1,2,heim,samstag,niederlage
	2,6,0,0,gast,sonntag,unentschieden
	4,6,1,1,heim,sonntag,unentschieden
	3,2,3,-1,heim,sonntag,sieg
	6,5,1,3,gast,sonntag,niederlage
	4,4,1,0,heim,sonntag,sieg
	6,4,3,2,gast,sonntag,niederlage
	3,4,0,0,gast,samstag,sieg
	9,4,4,-1,heim,samstag,niederlage
	5,4,3,-2,gast,samstag,sieg
	7,1,4,3,heim,samstag,niederlage
	6,4,3,2,gast,samstag,sieg
	7,4,4,3,heim,samstag,niederlage
	3,4,2,0,gast,samstag,unentschieden
	5,9,2,-4,heim,samstag,unentschieden
	2,9,2,-1,gast,samstag,sieg
	1,4,1,-1,heim,samstag,niederlage
	2,3,0,-1,gast,sonntag,unentschieden
	3,7,2,1,heim,sonntag,unentschieden
	8,3,2,1,gast,sonntag,niederlage
	2,9,0,0,heim,sonntag,sieg
	6,8,1,-1,gast,samstag,unentschieden
	5,3,2,1,heim,samstag,unentschieden
	6,6,2,1,heim,freitag,unentschieden
	1,3,3,-2,gast,freitag,unentschieden
	6,7,1,2,heim,freitag,niederlage
	3,4,1,1,gast,freitag,sieg
	4,7,2,0,heim,freitag,sieg
	9,8,2,3,gast,freitag,niederlage
	3,4,2,1,gast,dienstag,sieg
	4,2,2,2,heim,dienstag,niederlage
	4,3,2,-1,heim,dienstag,niederlage
	6,1,4,-3,gast,dienstag,sieg
	6,3,4,-2,gast,dienstag,sieg
	2,6,1,-2,heim,dienstag,niederlage
	8,4,2,1,gast,dienstag,unentschieden
	5,4,2,-1,heim,dienstag,unentschieden
	6,1,3,0,gast,dienstag,niederlage
	1,5,1,0,heim,dienstag,sieg
	6,5,2,2,gast,dienstag,niederlage
	3,5,0,2,heim,dienstag,sieg
	1,8,1,0,gast,dienstag,niederlage
	5,3,3,1,heim,dienstag,sieg
	5,2,2,0,gast,mittwoch,niederlage
	3,6,0,0,heim,mittwoch,sieg
	3,6,0,1,heim,mittwoch,sieg
	3,5,0,1,gast,mittwoch,niederlage
	2,4,3,-2,heim,mittwoch,niederlage
	7,6,2,0,gast,mittwoch,sieg
	8,5,2,-2,heim,montag,sieg
	6,1,2,3,gast,montag,niederlage
	4,3,3,1,heim,freitag,unentschieden
	9,4,3,1,gast,freitag,unentschieden
	3,7,1,0,gast,samstag,sieg
	0,3,2,-2,heim,samstag,niederlage
	5,1,2,-1,gast,samstag,niederlage
	6,3,2,2,heim,samstag,sieg
	8,5,3,1,heim,samstag,niederlage
	4,1,2,-1,gast,samstag,sieg
	4,4,1,0,gast,sonntag,sieg
	3,4,2,0,heim,sonntag,niederlage
	4,4,2,0,gast,sonntag,unentschieden
	3,4,0,0,heim,sonntag,unentschieden
	5,3,4,1,heim,samstag,niederlage
	4,7,0,1,gast,samstag,sieg
	6,5,2,1,heim,samstag,niederlage
	3,6,1,0,gast,samstag,sieg
	4,2,2,1,heim,samstag,unentschieden
	4,5,3,1,gast,samstag,unentschieden
	6,4,3,0,heim,samstag,sieg
	4,5,1,0,gast,samstag,niederlage
	6,3,3,1,gast,samstag,sieg
	3,4,1,1,heim,samstag,niederlage
	5,5,3,-2,heim,sonntag,niederlage
	5,4,2,-1,gast,sonntag,sieg
	2,6,0,-1,gast,sonntag,sieg
	6,3,3,2,heim,sonntag,niederlage
	5,5,3,0,gast,samstag,sieg
	4,7,2,2,heim,samstag,niederlage
	7,5,2,0,heim,samstag,niederlage
	12,3,4,4,gast,samstag,sieg
	6,1,3,3,heim,samstag,unentschieden
	5,6,1,3,gast,samstag,unentschieden
	3,5,2,0,heim,samstag,sieg
	2,9,0,0,gast,samstag,niederlage
	6,6,1,0,gast,samstag,unentschieden
	2,8,1,-1,heim,samstag,unentschieden
	5,5,0,3,heim,sonntag,sieg
	4,10,1,2,gast,sonntag,niederlage
	2,8,0,-3,heim,sonntag,unentschieden
	6,3,2,0,gast,sonntag,unentschieden
	9,2,4,-2,heim,samstag,unentschieden
	7,0,4,-1,gast,samstag,unentschieden
	8,1,3,3,heim,freitag,unentschieden
	2,7,1,-1,gast,freitag,unentschieden
	1,3,2,-2,gast,freitag,niederlage
	5,3,4,-2,heim,freitag,sieg
	3,8,1,-2,gast,freitag,sieg
	2,3,1,-2,heim,freitag,niederlage
	7,3,3,1,heim,mittwoch,unentschieden
	6,1,3,1,gast,mittwoch,unentschieden
	2,4,1,-2,heim,mittwoch,unentschieden
	3,8,0,-2,gast,mittwoch,unentschieden
	3,5,2,-2,heim,mittwoch,unentschieden
	2,3,2,1,gast,mittwoch,unentschieden
	6,5,2,2,heim,montag,unentschieden
	4,5,1,0,gast,montag,unentschieden
	4,3,2,2,gast,freitag,unentschieden
	2,5,3,-2,heim,freitag,unentschieden
	4,6,1,0,heim,samstag,unentschieden
	6,4,2,1,gast,samstag,unentschieden
	5,6,2,-1,heim,samstag,sieg
	6,6,3,0,gast,samstag,niederlage
	2,3,1,-2,heim,sonntag,niederlage
